Month,Day_of_week,Weekend,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index,Per_Reduction
3,6,1,0,0,2,0,0,0,5.56,-0.295228892
3,0,0,0,0,2,0,0,0,13.89,-0.322049913
3,1,0,0,0,3,0,0,0,13.89,-0.242135455
3,2,0,0,0,3,0,0,0,13.89,-0.214975877
3,3,0,1,0,7,0.0769,0,0,13.89,-0.12016932
3,4,0,3,0,3,0.1875,0,0,13.89,0.205236434
3,5,0,3,0,3,0.2727,0,0,13.89,0.34429935
3,6,1,3,0,9,0.1176,0,0,13.89,-0.345713441
3,0,0,5,0,3,0.0571,0,0,13.89,-0.266155985
3,1,0,11,0,8,0.1607,0,0,13.89,-0.253678537
3,2,0,13,0,9,0.125,0,0,13.89,-0.231358761
3,3,0,21,0,8,0.0845,0,0,17.59,-0.228188219
3,4,0,32,0,12,0.0924,0,0,29.63,-0.045750817
3,5,0,31,0,11,0.0863,0,0,29.63,0.372461532
3,6,1,40,0,23,0.1105,0,0,29.63,-0.585606341
3,0,0,78,1,17,0.0964,0,0,40.74,-0.705071345
3,1,0,96,1,29,0.1146,0,0,48.15,-0.848370399
3,2,0,162,1,40,0.1664,0,0,61.11,-0.879629634
3,3,0,183,2,38,0.155,0,0,61.11,-0.891970602
3,4,0,155,0,54,0.1529,0,0,61.11,-0.879424914
3,5,0,125,2,66,0.1898,0,0,82.41,-0.940310871
3,6,1,168,2,73,0.2752,0,0,82.41,-0.982162692
3,0,0,290,3,107,0.2163,0,0,82.41,-0.974052997
3,1,0,350,2,122,0.2552,0,0,82.41,-0.97673536
3,2,0,367,5,125,0.2776,0,0,82.41,-0.976126448
3,3,0,413,2,136,0.2884,0,0,82.41,-0.97354907
3,4,0,404,8,155,0.2909,0,0,82.41,-0.957575627
3,5,0,248,4,133,0.277,0,0,82.41,-0.970913951
3,6,1,282,20,130,0.3299,0,0,82.41,-0.98674409
3,0,0,439,12,160,0.3118,0,0,82.41,-0.979706431
3,1,0,490,16,162,0.3022,0,0,82.41,-0.978625087
4,2,0,462,24,183,0.3009,0,0,82.41,-0.976724862
4,3,0,437,15,172,0.2757,0,0,82.41,-0.977475503
4,4,0,467,24,164,0.2713,0,0,82.41,-0.967029512
4,5,0,327,22,160,0.2914,0,0,82.41,-0.977501749
4,6,1,292,26,147,0.3048,0,0,82.41,-0.989045405
4,0,0,583,22,203,0.3072,0,0,82.41,-0.983737849
4,1,0,556,25,198,0.3018,0,0,82.41,-0.981202465
4,2,0,705,36,174,0.3225,0,0,82.41,-0.980436076
4,3,0,576,25,158,0.2942,0,0,82.41,-0.979764173
4,4,0,571,32,158,0.2654,0,0,82.41,-0.969801111
4,5,0,397,33,141,0.2703,0,0,82.41,-0.975018858
4,6,1,341,33,138,0.3114,0,0,82.41,-0.986977619
4,0,0,694,33,155,0.2989,0,0,82.41,-0.980320592
4,1,0,666,33,172,0.2695,0,0,82.41,-0.979113267
4,2,0,632,31,150,0.2664,0,0,82.41,-0.967323469
4,3,0,679,31,154,0.2437,0,0,82.41,-0.967538688
4,4,0,777,43,149,0.2479,0,0,82.41,-0.956620265
4,5,0,535,39,163,0.2574,0,0,82.41,-0.967711913
4,6,1,459,35,160,0.2751,0,0,82.41,-0.985657123
4,0,0,990,40,183,0.2875,0,0,82.41,-0.973900769
4,1,0,875,36,170,0.2784,0,0,82.41,-0.977039816
4,2,0,1057,45,151,0.2577,0,0,82.41,-0.974068745
4,3,0,1467,36,165,0.3123,0,0,82.41,-0.97244148
4,4,0,1076,54,167,0.2849,0,0,82.41,-0.960630686
4,5,0,632,38,119,0.2679,0,0,82.41,-0.965396998
4,6,1,434,51,132,0.2482,0,0,82.41,-0.985750534
4,0,0,1158,35,172,0.2852,0,0,82.41,-0.9736908
4,1,0,1324,56,179,0.2764,0,0,82.41,-0.970745975
4,2,0,1152,44,161,0.2469,0,0,82.41,-0.959880044
4,3,0,1271,40,168,0.2522,0,0,82.41,-0.963470526
5,4,0,1168,39,141,0.2411,0,0,82.41,-0.948636168
5,5,0,719,49,167,0.2659,0,0,82.41,-0.949197837
5,6,1,468,45,137,0.2606,0,0,82.41,-0.981665914
5,0,0,1120,48,126,0.2586,0,0,82.41,-0.967900886
5,1,0,1090,58,154,0.2284,0,0,82.41,-0.965155532
5,2,0,973,44,138,0.2124,0,0,82.41,-0.968677774
5,3,0,938,49,144,0.2225,0,0,82.41,-0.963701492
5,4,0,923,44,97,0.1943,0,0,82.41,-0.947145384
5,5,0,520,53,100,0.1833,0,0,82.41,-0.953229255
5,6,1,307,38,100,0.1965,0,0,82.41,-0.976519801
5,0,0,1017,38,128,0.1954,0,0,82.41,-0.969302433
5,1,0,942,46,126,0.2001,0,0,82.41,-0.970997939
5,2,0,875,45,125,0.1907,0,0,82.41,-0.96690353
5,3,0,775,45,131,0.1742,0,0,82.41,-0.957444396
5,4,0,970,49,109,0.1736,0,0,82.41,-0.939974919
5,5,0,514,28,103,0.1495,0,0,82.41,-0.949738509
5,6,1,326,41,97,0.1472,0,0,82.41,-0.975823463
5,0,0,945,33,111,0.1611,0,0,82.41,-0.964383894
5,1,0,891,27,99,0.1521,0,0,82.41,-0.964257912
5,2,0,771,29,93,0.1406,0,0,82.41,-0.96143382
5,3,0,800,34,110,0.164,0,0,82.41,-0.956499533
5,4,0,724,36,94,0.149,0,0,82.41,-0.935507814
5,5,0,327,30,90,0.1175,0,0,82.41,-0.949838245
5,6,1,279,27,91,0.1187,0,0,82.41,-0.968707222
5,0,0,252,23,79,0.1329,0,0,82.41,-0.970829963
5,1,0,755,23,77,0.1204,0,0,82.41,-0.960320981
5,2,0,615,26,65,0.1187,0,0,82.41,-0.958604479
5,3,0,523,22,70,0.1127,0,0,82.41,-0.951140057
5,4,0,460,20,54,0.0983,0,0,75,-0.925675984
5,5,0,238,21,53,0.091,0,0,75,-0.925487012
5,6,1,121,22,39,0.0888,0,0,75,-0.981610716
6,0,0,235,21,64,0.1019,0,0,75,-0.971186911
6,1,0,244,25,52,0.0789,0,0,75,-0.956489034
6,2,0,280,20,54,0.0995,0,0,75,-0.945539116
6,3,0,319,15,32,0.0929,0,0,73.15,-0.925119565
6,4,0,339,17,42,0.0918,0,0,73.15,-0.882401234
6,5,0,170,20,38,0.083,0,0,73.15,-0.892248812
6,6,1,110,20,32,0.0736,0,0,73.15,-0.955468296
6,0,0,274,15,40,0.0619,0,0,73.15,-0.934022279
6,1,0,254,23,37,0.0591,0,0,73.15,-0.922290223
